corps,titre,avis
Ca vaut son prix. Un bijou fantaisie,Bof,négatif
J’adore 👍 conforme à la photo taille normal Livraison très rapide en 2 jours !!! Je recommande,Magnifiques,positif
Grosse différence entre les perles... Pas satisfait du tout.,Pas satisfait.....,négatif
Très déçu. Reçu 7 articles au lieu de 8 que j’ai payer!!!,Reçu 7 au lieu de 8,négatif
"Boucles d'oreilles de trés bonne facture. Je ne fais pas de réaction allergique, ce qui est trés positif pour moi, ne supportant pas souvent les boucles d'oreilles ne venant pas de bijouterie. 👍 La longueur des tiges n'est pas trop courte. Pas de soucis de ce côté là. Rendu trés joli, elles vont avec tout. Je recommande cet article vraiment trés sympa","Trés jolie, et je les supporte trés bien",positif
"Très bon produit, fermeture solide et simple qui se clip facilement et tient bien. La taille de la croix est fidèle à l'image. L'emballage du produit est top.",Très satisfaisant,positif
"J’ai acheté ce bracelet pour ma mère pour Noël mais je vais devoir le donner à la fille d’un pote qui a 8 ans. Si vous achetez pour une gamine, pas de souci, mais pour une adulte...",Trop petit,négatif
Objet qui remplis parfaitement sa fonction! Je le recommande vivement ... La qualité est au rendez vous! Bon achat !,parfait,positif
"J'ai l'intention d'empiler plusieurs petits anneaux et j'ai commencé par celui-ci. J'aime tellement que je peux en acheter 4 de plus. La bague est comme décrit, emballée comme prévu et est arrivée rapidement. J'achèterais encore.",Douce petite bague,positif
Beau pendentif. Belle couleur raffiné. Ravie.,beau pendentif,positif
J'ai reçu 2 bracelets noirs et non 1 noir et 1 marron. Qualité plus que médiocre en plastique et vendeur qui ne répond pas. Quel magnifique achat en somme !,Vraiment à fuir,négatif
Le collier est vraiment très jolie mais très fragile car déjà cassé,Jolie mais fragile,négatif
ma commande n'a jamais eté livrée.,jamais livré,négatif
"Je n'ai jamais reçu l'article et sur mon compte amazon, c'est écrit que je l'ai retiré en point relais. En plus, il n'y a aucun de contacter ce vendeur aucun contact disponible",Escroquerie,négatif
beau produit agreable a porter,beau produit,positif
"je ne suis pas très contente de cet article, en effet, la boucle ne tient pas correctement",déçue,négatif
"A la hauteur de mes attentes, collier d'excellente qualité. Il est parfait, il va très bien avec pendentif, je suis ravie de mon achat",Collier de très bonne qualité,positif
il aurait pu Être bien mais est arrivé sans accroche...,arrivé cassé,négatif
Tres belle présentation. Je ne suis absolument pas décue! Bon rapport qualité prix. Bijou fin qui correspond bien au dessin.Présentation dans un joli coffret pour offrir.,Boucles fines,positif
A peine mis déjà casser ! Le vendeur avertit s en contre fou !!!! Malhonnête en plus à fuir !!!,Nul,négatif
Toujours pas reçu . Commandé le 28 novembre et j'attend toujours .,Pas reçu,négatif
Article en attente. Non livré. Ai reçu tout le reste de ma commande mais pas la chaîne plaquée or qui est un cadeau,En attente de l’article. Ai reçu tout le reste sauf cette chaîne.,négatif
"Ce bracelet sur j'ai commandé malheureusement, je ne l'ai jamais reçu",C'est une déception pour moi .,positif
"En un mot comme en mille parfait, merci salutations",service,positif
J'ai reçu la chaîne dans un état lamentable . Toute oxydée et nouée . A ce demander si le bijou est vraiment neuf ... J'ai bien fait de vérifier son état avant de l'offrir ! Après un sacré nettoyage elle est potable . Produit de qualité moyenne d'ou son prix . Je ne recommande pas ce produit .,Chaîne noircie !!!,négatif
non reçu et pas de réponse du vendeur Non satisfaite du service client Tjs en attente depuis 3 jours En colère car cadeau d anniversaire que ma fille avait offert à da soeur. .,Vendeur impossible a joindre,négatif
Bague énorme et non ajustable comme dit dans la description du produit.. De plus ressemble plus à un Loire qu'à un chat..tres déçu temps de réception très long..,Bague,négatif
achat pour un petit cadeaux pour ma fille et les bijoux se sont décollés au bout de 2 jours,rien,négatif
Écritures bien trop petites il faut une loupe pour les lire ou avoir le nez dessus,Déçu,négatif
"je devais recevoir collier et boucles d'oreilles, dans le collier, il n'y a que le collier!",que le collier,négatif
Pas de livraison à ce jour ????Suis déçue quelques un peut me dire où est ce colis merci à vous,Pas de livraison,négatif
Reçu rapidement Bien emballé Jolie pendentif et collier A fait fureur pour anniversaire nièce de 7ans Top je recommande à tous,Bijoux,positif
"Commandée le 17 avril reçu le 23 avril soit très rapidement :) ! Elles arrivent de chine, très bien emballer. Pas encore mise, visuellement très joli et conforme à la photo. À voir avec l’usure mais je recommande.",Très joli et simple à porter,positif
"déjà commandé 2 fois , il est trop chou et de qualité tout a fait correct",tres mignon,positif
Satisfait les pierres sont assez grosses et bien polies. Une petite fiche sur le nom de chaque pierre eût été un plus. Jolie présentation avec le sachet et le coffret. Vu le prix rien à dire.,Satisfait,positif
"très déçu, noircit au bout de 24h",bague en Argent?,négatif
Un peu petit et fragile,Fragile,négatif
"Au regard du prix, belle imitation qui a fait tout son effet sur ma fille de 9 ans qui l'adore. Le collier semble fragile tout de même .. je ne sais pas combien de temps il résistera aux sortilèges, et aventures de ma sorcière de fille !",belle imitation,positif
"Lorsque j'ai vu la femme d'un ami avec ce long ""collier"", j'étais sûr que cela plairait à ma femme, et ça n'a pas manqué! Elle a été ravie de ce cadeau. Le cordon est suffisamment long pour bien atterrir sur le ventre et assez solide pour résister à notre petit dernier de 2ans qui ne rate pas une occasion de le voler pour jouer avec ! Le tintement est très doux et sûrement très agréable pour notre bébé. Je recommande à tous les papas qui veulent faire un cadeau qui marche à tous les coups!",Super cadeau!,positif
"A l'inverse du bracelet au pierre noire l'élastique de celui-çi tient toujours , a voire avec le temp si l'élastique tient.",Satisfait,positif
Super joli le pendentif et comme sur la photo,Bijou pendentif,positif
"Produit de bonne qualité (pour l'instant, à voir avec le temps), livraison rapide, je suis contente de ma commande... Dommange il ne font pas de collier plus long",Bien,positif
"trop petit à mon goût, cela devient de plus en plus difficile d'acheter des bijoux sur amazon. La qualité laisse à désirer.",petit et qualité médiocre,négatif
Cordon trop petit. Fait toc.,Pas terrible,négatif
"Article jamais reçu, et jamais remboursé!! A fuir",Arnaque! Article jamais reçu,négatif
"Bracelets sympas, bon look. Assez lourds et relativement bien finis pour le prix. Mais l'élastique n'a tenu que 3 jours. Il suffit de le changer mais bon... c'est toujours un peu frustrant.",Bracelets bon look mais fragiles.,négatif
J’avais déjà acheté ce produit ! J’ai trouvé que les plumes de celui -ci était moins jolies,Bon produit,positif
"Commande reçue mais déçue. A première vu il fait relativement fragile : arrivé avec déjà deux petites pierres noires sur les côtés, un morceau en haut tordu (que j’ai pu remettre doucement car très fragile) A voir si cela tient dans la temps...",Déçue,négatif
ces boucles sont beaucoup trop petites pour une femme adulte ; A offrir plutôt à une enfant ou une adolescente,bijoux,négatif
Magnifique!!! Un peu dur a démêler quand on n'a pas le coup de main mais ca vient un bout d'un moment. Je me sens comme une déesse avec!,Très beau,positif
"Après recherches et consultations des différents avis, je me suis laissée tenter par ce bracelet anti électricité statique.. Mignon et discret, j'ai tout de même énormément peiner pour retirer les maillons (malgré l'accessoire fourni et mon expérience du bricolage). Le résultat est sans appel, pour mon cas personnel, cela ne règle pas du tout mon problème d'électricité statique. Très déçue...",Peu efficace,négatif
Depuis le 29 janvier 2019 j'attends le remboursement du produit C'est pas très professionnel,Le sav pas très pro,négatif
"Je suis partagée ... le produit est conforme, il n'est pas défaillant, mais sa si petite taille le rend impossible à fermer une fois mis sur l'oreille ...",Perplexe,négatif
suis très déçue par cet article. Porté une seule fois. tous les éléments incrustés se détachent ....,Déçue,négatif
"Très joli, mais les pendants se défont de leurs attaches. Pour le prix, c'est correct si on est manuel et que l'on peut resserrer soi-même les bijoux",Fragile mais joli,négatif
"Déçu, ce brecelet fait très pacotille, il était plus beau en photo, j'aimerais être remboursée",Bracelet,négatif
Très jolie a voir sur le temps,Jolie,positif
"Jolie mais un peu grossier. Pour un cadeau je le trouve un peu moyen. En revanche, le principe de la maille supplémentaire est très bien pensé.",Y a mieux,négatif
"Couleur noir, pas trop grossier, livraison et emballage correct. La pochette c'est bien, mais pour une parure une petite boite serait mieux.",BELLE ENSEMBLE,positif
"sans plus , autour de mon cou je trouve se pendentif grossier , encore une dépense inutile , je vais le donner aussi le pendentif comme la boche je n'aime pas du tout",c'est sans plus un peu top grossier,négatif
Chaine pas 50 cm petite et pas maille de la chaine vraiment petite fragile,Decu,négatif
"Pierre petite, convient à un enfant. Chaine très fine. Chère pour ce que c est...",Déçue,négatif
"Bonjour, Bracelet bien reçu et conforme à la photo avec ses nombreuses compositions : mais il est tombé en morceaux en quelques jours (pièces, cordons et attaches) ; je dirais ""presque heureusement"" car j'ai fait une allergie très ciblée au métal utilisé. Donc à la fois perte de temps et d'argent ! Je ne le recommande à personne !! Je laisse une étoile car le Vendeur Tiers a été compréhensif : en un mot un Vendeur Sérieux qui saura, je l'espère, demander à ce que ce bracelet qui aurait pu être une merveille, soit amélioré à tous points de vues.",bracelet bleu ciel et blanc,négatif
Exactement comme sur l'annonce à recommander,"Nickel exactement comme je voulais, merci",positif
Produit conforme et de qualité expédition rapide rien à redire. Merci,Produit conforme,positif
Produit correspondant à la description . Très belle .,Très bon rapport qualité prix,positif
"Jolies boucles en apparence mais déception quand au fermoir que je trouve mal fichu. Si vous n'avez pas les oreilles percées, le fermoir s'en chargera...aïe aïe aïe",Mal aux oreilles!!!!,négatif
Je ne peu pas faire d'appréciation je n'ai jamais reçu mon bracelet,Colis renvoyer chez le vendeur,négatif
"Vraiment très sympa... La boîte n est pas très solide, mais pour le prix...",Très joli,positif
conforme à la description. Livraison rapide.,joli bracelet,positif
Super cadeau pour la fête des mères.,"Beau collier, rien à redire !!!",positif
Cela fait déjà un mois que l'on m'a débité l'argent de mon compte! Je n'ai toujours pas reçu l'article que j'ai commandé. Merci pour votre compréhension...,Mécontent!,négatif
"Boucles d'oreilles très jolies, bien qu'une peu lourdes et imposantes.",jolies,positif
"pour juger encore faudrait-il avoir reçu le bon article. En effet, à la place de la broche j'ai reçu des stylos feutres... que j'ai immédiatement renvoyés. Mais toujours pas de broche à ce jour...",non reçu,négatif
bracelet non reçu à ce jour,bracelet non reçu à ce jour,négatif
"Cet article qui devait être un joli bracelet rosé, a été reçu tout plat et multicolore. Je demande le remboursement.",Bracelet rosé,négatif
C'est ma première mauvaise expérience sur Amazon. Je n'ai pas reçu ma commande. J'ai envoyé plusieurs mails au vendeur et j'ai contacté Amazon mais sans succès . Heureusement pour moi que la marchandise n'était pas trop chère. Fuyez ce vendeur n'achetez pas chez lui.,"Article non livré, le vendeur ne répond jamais",négatif
"Eclairage insuffisant, bouton fragile, pas de notice Déception totale",Elle est partie à la poubelle,négatif
"ATTENTION, ARNAQUE! Je n'ai jamais reçu les articles. L'adresse du vendeur n'existe pas. Il répond via amazon, mais n'a jamais remboursé ou renvoyé, soutenant que j'avais recu le colis. Donc article payé mais jamais reçu. ARNAQUE!!",Arnaque,négatif
Très beau bracelet juste un souci avec l’outil pour démonter les mailles mais le problème a été réglé par le vendeur immédiatement je conseille cet achat,Conseil,positif
"Bonjour, Je n'ai jamais reçu ce colis non plus......",Colis jamais reçu,négatif
"trop gros,mauvaise qualite ais pour le prix ca se comprend",bijoux fantaisie,négatif
Parure bijoux rendu magnifique sur une robe de soiree,Bon produite très belle effet,positif
Article non reçu dans le colis.,Article non livré,négatif
"Très joli clip , encore plus joli que sur la photo. Il a de très belles finitions. Par contre j ai un peu peur de le perdre il c est ouvert 2 fois en une journée .",Tres joli clip,positif
Parfait!!!! Très beau. Et semble bien solide.,Conjoint ravi de ce cadeau,positif
livraison rapide et travail de qualité. C'était parafit,livraison plus rapide que je pensais,positif
Un très joli bijoux! Très fin et bien brillant. Ma belle sœur est ravie. Attention toute fois si vous souhaitez y mettre un pendentif à ce que la bélière de celui-ci ne soit pas trop petite.,"Très satisfaite, cette chaîne est du plus bel effet.",positif
"Le produit est conforme à l’image, elles sont jolies. Toutefois à la 3ème utilisation, l’une des chaîne s’est cassée sans possibilité de la réparer. J’ai été obligée de les jeter. J’étais très déçue de la qualité.",Jolies mais très fragiles,négatif
Bonjour je suis déçu du produit le fermoir c cassé je demande la garantie svp,Remboursement garantie,négatif
je n'ai jamais reçu mon bracelet!!,mécontente!!,négatif
Collier sympa et beau. Je l ai trouvé plus petit que sur la photo et beaucoup moins coloré mais son originalité fait toute la différence.,Collier joli et original,positif
Magnifique bijoux pour l anniversaire de maman qui était très contente du beau bijoux et conforme à la description et bon Merci,Bon bijoux,positif
"Très beau pendentif, correspond en tous point à mes attentes..... Seul bémol chaîne un peu trop fragile..",Pendentif très léger,positif
"Les faux diamants sont beaucoup trop gros, manque d'élégance","Mauvais qualité, diamants trop gros",négatif
La chaîne c est détaché au bout de 2 semaines,Déçu,négatif
"Piètre qualité, très déçue. Le pendentif est assez grande, et c'est de la plastique bien évident même de loin. La chaîne est longue, et on ne peut pas la changer. J'ai renvoyé l'article, il n'était pas du tout utilisable comme cadeau pour une jeune femme, même si passionné de Harry Potter",Mauvaise qualité,négatif
Bof pas très solide dommage.,Ce casse très vite.,négatif
Très joli collier la gravure est magnifique et de bonne qualité. Le cordon est de bonne qualité également.,Superbe collier,positif
superbe mieux que sur les photos. je n ai pas été déçue de mon achat ! Je recommande cette parure,maginifique !!!!,positif
"Il est bien, il est venu avec un autre tige en plastique c'est super ça. L'article à était livré 1jour àpres la date prévue",Percing,positif
La tige est trop petite pour pouvoir attacher le fermoir Ne peut donc pas servir de boucle d oreille J ai eu les renvoyer,Pas des boucles d oreilles,négatif
"les boucles d'oreilles sont parfaites, de différentes tailles ,qui ne changent pas de couleurs avec le temps.super j'adore .je vous conseille",magnifique boucles d'oreilles super,positif
Beau bijou mais très fragile. Les attaches ne se ferment pas correctement.,Attaches fragiles,négatif
Pas mal mais un peu déçu par la gravure et la taille malheureusement mais ça c'est de ma faute pour le prix je ne pouvais pas exiger plus,Satisfait pour le prix,positif
Perles pas très authentique,Bracelet,négatif
Tout juste un an et déjà je ne peux plus les mettre car ces boucles d'oreilles ne sont pas en argent. Il y a juste une fine pellicule d'argent qui est toute partie! Je suis déçue et je ne recommande pas.,Boucles d'oreilles,négatif
"J'ai acheté ce produit il y a un mois et le porte tous les jours. Il est joli, un peu lourd mais le plus gros problème c'est la qualité... Il est déjà rouillé sur les côtés et noirci ce qui gâche l'esthétisme du produit.",Bon produit mais mauvaise qualité,négatif
Les pierres sont toutes les mêmes ou à peu près... Bien difficile de distinguer trois sortes de pierre arnaque ???,Pierres touts identiques !!!!,négatif
chaine trop petite !!!!,la chaine est pour les enfants !,négatif
Article jamais reçu Disent livré dans la boite au lettre na rien du tout dedans Sois le livreur la garder ou la donner a quelqu' un de la residence sans savoir si cetait moi ou mon mari,Article jamais reçu,négatif
"très beau BOLA, je suis enchantée de mon achat.Ma fille étant enceinte, ce BOLA fait de petits sons qui apaise son bébé ... très beau !! je le recommande à toutes les femmes enceintes.Et moi mon plus beau cadeau sera la naissance de mon premier petit enfant qui doit naître le jour de mon anniversaire....le 14 Juillet 2018.",Super !!!,positif
Les colliers sont très beaux. Je n ai que des remarques sympathiques quand je les porte,Ravie de cet achat,positif
"Très jolies boucles. Oublié plusieurs fois de les enlever sous la douche, elles sont toujours restées impeccables. Juste une petite déception, vu les photos et la description je les pensaient un peu moins ovales. C'est original !",Jolies boucles,positif
"j'avais depuis fort longtemps très envie d'avoir un baguier, car il est assez difficile de ""voir"" avec un baguier en papier qui se déchire dès qu'on veut tente de passer son doigt dans les différents trous , j'ai commandé ce baguier, qui fut délivré très rapidement et j'en suis contente, enfin, je peux vérifier mes bagues et si j'ai envie de faire un petit cadeau, je peux très vite mesurer une bague que ma fille ou petite fille ou une amie a laissé trainer sur la tablette du lavabo pour se laver les mains, le baguier n'est jamais loin. Et je suis persuadée qu'elles seront enchantée de constater que lesdites bagues seront à leur taille. C'est idéal et parfait.",enfin!,positif
"Quel dommage, le bracelet est magnifique, vraiment . Mais pour un poignet d’homme fin, 17,5 cl 4 tours, trop grand, 5 tours impossible et c’etait un petit cadeau pour mon homme Pour un poignet de femme 16 cm 5 tours parfait Le collier mesure environ 89 cm de tour",En guise de bracelet compliqué ...,positif
"Tres déçu, vraiment tres tres fin. Livraison rapide, mais bien se renseigner avant de faire votre choix. Par contre, attention, car le vendeur vous contacte directement pour faire des achats en direct sans passer par Amazon",Deception,négatif
Chaîne pour suspendre un medaillon,"Très belle finition, qualité /prix parfait",positif
Très bel article de bonne facture et conforme à la photo. S adapte parfaitement à mon bracelet. Je le recommande.,Joli charm,positif
Pour le moment je suis contente de ces boucles d'oreilles même si effectivement on peut remarquer qu'elles sont fines. Le diamètre est celui que je voulais et la livraison à été rapide.,satisfaite,positif
"Bon produit conforme à l annonce , non estampillée seigneur des anneaux sur la boîte , pas d’emballage cadeau comme commandé",Bon produit,positif
Le bracelet fait que ce desserrer,Le bracelet fait que ce desserrer,négatif
"un peu petit pour le prix ,mais de bonne qualité",tres petit,négatif
rien a dire pour le prix raisonable,tres beau collier,positif
Bon produit qui ne bouge pas même sous la douche.,Jolie,positif
"Article beau et original, mais au bout d une semaine, porté, la chaine a change de couleur. Esthétiquement impossible de le porter tels que. Tres déçue.",Très déçue par la chaine.,négatif
Belle pierre scintillante qui est tombée deux jours après que je l’aie eue. Ne pas payer un bijoutier pour réinitialiser une nouvelle pierre / paramètre. Retour ça va.,Dommage car c'est joli mais…,négatif
"Plusieurs bracelets, pas chers, mais de qualité médiocre et destinés à des jeunes.",BRACELETS,négatif
"Pince de bonne qualite, pince bien la peau j'ai pu faire avec mon piercing de nombril . Prix abordable",Bon produit,positif
"Je l'ai offert à ma maman pour sa fête, simple mais vraiment joli, à tel point que je me le suis offert. Bonne taille pas trop lourds à porter.",Joli avec tout,positif
Craqué dès le premier jour d’utilisa et impossible de remettre les bouts ensemble,Nul,négatif
"Pour un cadeau d'anniversaire pour jeune femme très ""fan"" des chevaux Ce cadeau a été TRES apprécié.....",style et idée-cadeau et rapport qualité-prix,positif
Très belles boucles!,Très bien,positif
"Ce collier est très beau, je l'ai donné à mon amie en cadeau, elle l'aime beaucoup.",Très beau,positif
Très bon produit pour la fête des mères. Ce n'est pas du toc comme on peut trouver ailleurs. Je recommande ce produit !,Bon produit pour la fête des mères,positif
Joli cadeau à offrir à une petite fille à l'occasion de Noël,Bracelet très original,positif
Cadeau offert à une jeune fille,Anniversaire,positif
Produit de très mauvaise qualité,Très bas de gamme,négatif
Tres joli mais un brillant est deja tombe alors que ma fille a porte le collier seulement 3 fois. Vraiment dommage.,Joli mais les brillants ne tiennent pas,négatif
"Mauvaise qualité, pas ressemblant à la photo. Je déconseille. Déjà abîmés lors de la réception. La couleur jaune poussin !",Boucles d’oreilles de mauvaise qualité,négatif
Produit conforme aux descriptions du vendeur. Excellente produit/qualité/prix. Je recommande ce site.Le pendentif est très beau à voir et la couleur bleu est divine.,Pendentif Larmes d'ange,positif
Je n’ai pas reçu mon article ou alors il a été livré à la mauvaise personne et impossibilité de se faire rembourser !,Article non reçu malgré les détails de la commande...,négatif
"ce bracelet a été commandé pour faire un cadeau, et hélas.. il vaut son prix. Il est assez difficile à ouvrir et a cassé au bout de 2 ou 3 utilisations. Dommage car très beau",Joli mais...,négatif
"j’aime beaucoup, il est assez galère à mettre mais vriament beau est beau rendu",bien,positif
Je renvoie les boucles. Taille trop petite. Reçues trop tard qui plus est. Même avec Amazon premium...,Trop petites.,négatif
Super jolie et classe. Acheté pour offrir du coup recommandé pour moi même surtout avec une bonne promo merci Amazon!,Très jolie,positif
"pas top qualité , une des deux boucles etait tordue a son arrivé, ce qui empeche la fermeture ,je l'ai bidouillé un peu pour que ça ferme on verra si ça tient mais je pense pas qu'elles dureront dans le temps vu le prix le contraire aurait été étonnant mais bon .ça n'est pas du plaqué or selon moi",boucle d'oreille,négatif
"jolie boucle d'oreilles , moderne je recommande ce produit vu le prix",moderne,positif
Pierres très belle j'adore la couleur le faite qu il soit mate j'adore il est un peu large pour mon poignet mais je ne le perd pas ouf!,très beau bracelet,positif
Tres bien qualité tres jolie,Magnifique,positif
"Bon rapport qualité/prix, joli et conforme aux photos. Je recommande cet article comme bijou de tous les jours. Pas décue",Satisfaisant,positif
Produit à ne surtout pas acheter la Chaîne roule tout le temps c est à dire que les 2 petits coeurs forment un amalgame car la Chaîne est trop fine,Collier kinder,négatif
"Le bracelet s'est cassé en une semaine à peine, c'est un peu court comme durée de vie, cela nécessiterait de revoir le processus de fabrication.",Le bracelet s'est cassé en une semaine à peine,négatif
"Boucles d'oreilles très jolies. Néanmoins, peu solides. Elles se sont cassées le soir même de l'envoi.",retour d'utilisation,négatif
comme d'habitude tout petit......bofff...jolie sur la photo mais vraiment tout mini...un achat que je ne ferais plus......offert le meme a ma soeur ...meme remarque un peu petit....,bof,négatif
La montre est jolie en revanche les bracelets font camelote d’une couleur or rouille rien à voir avec l’image.,Les bracelets font camelote,négatif
"Bon rapport qualité prix. A voir dans le temps. Pour l' instant, très satisfait. Beau bijou.",Belle chaîne,positif
"Qualité pas super, je m'attendais a mieux, ceci dit le prix est en accord",Moyen,négatif
Niquel. Très contente de mon achat.,Niquel,positif
tout simplement j adore ce genre de bracelet mais pas tres solide deja cassé dommage il est du plus bel effet en couleur argent,jolie bracelet,positif
Collier de bonne qualité et qui a fait une heureuse!,Tres bon collier,positif
"Très joli produit. L'apparence est vraiment parfaite, le bois magnifique. Livré avec certificat d'authenticité. Il convient parfaitement pour un homme.",Parfait,positif
"Ce bola est juste magnifique, de très bonne qualité. Le tintement est discret et très agréable. Je suis ravie de cet achat!",sublime,positif
Il s'est cassé au bout d'une semaine... très déçue de ce petit collier ! Je ne le recommande absolument pas.,Qualité médiocre,négatif
"Très jolie. À voir dans le temps pour la solidité, mais pour l instant très satisfaite",Chaine de cheville,positif
"Jolies boucles mais ne tiennent pas et tombent à chque mouvement sinon bel effet j'ai renvoyé cet article via étiquette retour Amazon le 3 mars et AUCUN remboursement n'apparaît sur le site alors qu'habituellement c'est immédiat (pour crédit par carte bancaire), pas satisfaite du service après vente !",jolies mais ne tiennent PAS !,négatif
Tres bel ecusson de qualite et bien fini.Livraison parfaite.Je recommande ce vendeur et ses produits.,superbe,positif
"La qualité de l’article est très bonne. Je l'utilise depuis longtemps, jusqu'ici tout va bien. C’est très durable. Je pense que c'est un bon rapport qualité / prix.",le rapport qualité prix.,positif
Bracelet dans l'ensemble bien mais pierre de lave pourri. Elle est toute déformée comme si c'était une pierre cassée que l'on a re poli. Franchement pas esthétique et visible car juste à côté de la pierre bleue,Défaut,négatif
"j'ai acheté 2 colliers pour offrir.Ils sont superbes. Très beaux, envoi très soigné. Je recommande vivement.",Très satisfaite,positif
"Très joli bijou très fin correspond exactement à ce que je recherchais ! En plus bien que je n'ai rien demandé,il est envoyé dans une très belle boîte.il y a même un chiffon pour nettoyer le bijou !",Vendeur et article à recommander ! Très joli et très bel emballage.,positif
"J'ai du mal lire la description mais la broche est vraiment tres petite, je ne m'attendais pas à cela je suis assez décu",Trop petit,négatif
Magnifique et bien emballé,Commande reçue en 2 jour,positif
certaines sont de jolies tailles mais 2 sont très petites et plusieurs abîmées... qualité médiocre je me demande si ce sont de vraies pierres...,ces pierres sont de qualité très médiocre,négatif
"Super sympa, achetée pour un déguisement donc mes attentes ne sont pas les mêmes que d'autres personnes.",Très chouette,positif
"Dommage on ne peut pas mettre 0... c'est parti direct à la poubelle. Arrivées dans une enveloppe, elles étaient toutes écrasées. Après les avoir vaguement remises en forme j'ai pu constater la très mauvaise qualité et l'esthétique absolument nul.",Ne pas acheter,négatif
"Je n'ai jamais reçu mon colis mais ai été remboursée par amazon. Je vais tenter de le commander une deuxième fois, esperant le recevoir a mon domicile ou dans ma boite-aux-lettres, cette fois-ci. Les boucles m'ont l'air tres belles, et je les envie. Esperons...","Dommage,je le recommande..",négatif
Le bracelet est vraiment jolie pour un cadeau anniversaire,Cadeau,positif
La pierre est tombée le premier jour nous avons retourné le produit. Très déçue par la qualité de ce bijou.,Non mauvaise qualité,négatif
tres jolie a voir si sa tien avec le temps,bracelet,positif
"Taille comme prévu, est conforme aux descriptions. Je suis content de l'achat, je renouvelerai probablement pour un futur achat.",Bon rapport qualité prix,positif
Je suis déçue de la qualité de fabrication. elle n'est pas droite de façon non volontaire et le métal est fissuré.,Qualité moyenne,négatif
"Bonjour Je n'ai pas reçu mon bracelet, il n a y rien da s la boîte aux lettres","Je n'ai pas reçu mon bracelet, n a y rien dans la boîte aux lettres",négatif
Très élégant et de bonne qualité,Superbe,positif
Correspondent a la description. Pas encore utilisés. Devront servir pour fermer des sacs a main,Fermoirs twist,positif
L envoie est lent . Mais le brecelet est plutot de bonne qualités ( par rapport au prix ) .,Ok,positif
Très beau bracelet mais au bout de 3 mois à peine le fermoir ne fonctionne plus. C'est dommage car il est vraiment beau !,Decue,négatif
"J'aime les pierres et ce qu'elles apportent, spirituellement, le contacte avec nous, le minéral est vivant comme la nature qui nous parle.",Énergie retrouvé,positif
Très joli sauf que le doré en moins d une semaine et il s en va domlage,Doré qui s en va en moins d une semaine,négatif
"Il ne s'agit pas d'un collier en argent, après une semaine, ""l'argent"" a noirci, il n'est plus possible de porter l'article... Même si le prix est très bas, l'achat n'en vaut pas la peine.",Article de mauvaise qualité,négatif
"Idéale, plus de trace sur la peau comme avec ceux en cuivre, le travail est le même qu'en cuivre. Le fermoir est parfait et je vous le recommande.",Bracelet aimanté,positif
J'ai acheté ce pendentif pour un cadeau mais à ça réception je me suis aperçu qu'il manquait une pierre dessus !!! Donc très déçu et impossible de l'offrir,Très déçu !!!!!,négatif
Très jolie chaîne. Elle semble être de bonne qualité. Il y a juste le fermoir qui est un peu difficile à fermer mais rien de très grave. Je suis satisfaite de mon achat.,Jolie chaîne,positif
Pour un cadeau déçu très fragile fait avec plusieurs morceaux rafistoler les uns aux autres très mal assemblée nous avons l'impression que ça a été recoller par un enfant de 8 ans dommage,Cadeau convenant à un enfant par un adulte,négatif
"Géniale ça perce bien et casi sans douleurs rapide et pratique je recommande pour vos oreilles. Pincer, Appuyer c'est percé.",Parfait pour moi.,positif
Les couleurs sont jolie et tandance,Bon raport qualité prix,positif
Produit conforme à la description. Petit bémol sur l'ouverture et la fermeture des boucles d'oreilles que je trouve fragile et peu pratique.,Bien,positif
Acheté pour un homme mais ne convient pas car trop court,Pas fait pour homme,négatif
Très belles et solides. Ma fille les adore,parfait,positif
"Le premier ex est arrivé avec un défaut de peinture sur le haut. Retourné et remboursé sans pb. Le second en parfait état, joli porte bijou acheté pour cadeau. Question fixation, rien de prévu. Prévoir un décalage du mur pour passer les boucles d'oreilles sans souci.",Très bien au 2 ième essai,positif
"Bien reçue à temps, l'emballage est parfait pour un cadeau mais la chaîne ne m'a pas plu elle est trop large. C'est une question de goût sinon rien à redire. le renvoi s'est très bien passé . SAV parfait!",Bon produit,positif
chaine qui se démonte. je ne peux plus la mettre,chaine trop fragile,négatif
À verdi dommage il était original,Déçue c est dommage,négatif
Je ne l ai jamais reçu ! D autres on eu ce probleme ?,?,négatif
"beau bracelet, mais très compliqué de trouver quelqu'un capable de retirer un maillon... J'habite pourtant dans une grande ville qui compte beaucoup de bijoutier/horloger",maillon,négatif
Adorable bague : petit coeur et aile d ange. Très mignonne et réglable. Conforme à la description. Merci.,Bague argentée coeur et aile d ange.,positif
Joli mais très mauvais sentiment. Je pouvais instantanément les sentir irriter et infecter mes oreilles. Ils ont tourné mes oreilles au vert. Ils étaient douloureux et irritants. Ne pas acheter ces!,Ne recommanderais certainement pas!,négatif
"Jamais reçu. Donc, je ne peut pas m'exprimer sur le produit. Par contre, je peux m'exprimer sur le suivi. J'ai été remboursé sans problème. Donc je note mon regret de ne pas avoir reçu l'objet.",Produit non reçu,négatif
Très joli collier fin et conforme à la photographie. Envoi soigné et rapide avec pochette cadeau et petit sac. Je recommande +++,Que du +++,positif
